Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,19.01.2019,Sporting CP,Moreirense FC,2,1,H,2,1,H,10,7,4,2,14,8,2,4,2,2,0,0
P1,20.01.2019,CD Aves,Vitória de Setúbal,2,1,H,1,0,H,16,6,4,1,21,15,9,9,1,4,0,1
P1,20.01.2019,Boavista FC,Portimonense SC,0,2,A,0,1,A,13,12,1,4,16,11,6,1,1,1,0,0
P1,20.01.2019,Rio Ave FC,CD Feirense,0,0,D,0,0,D,12,7,2,3,15,34,11,2,0,4,0,0
P1,28.01.2019,CD Feirense,Vitória Guimarães,1,2,A,1,2,A,7,16,3,6,22,14,1,11,0,1,0,0
P1,28.01.2019,Clube Sport Marítimo,Rio Ave FC,0,2,A,0,0,D,12,11,2,6,17,13,3,4,3,2,0,0
P1,28.01.2019,Moreirense FC,CD Nacional,2,1,H,1,0,H,15,6,5,3,12,16,4,5,1,4,0,1
P1,28.01.2019,CD Tondela,CD Aves,0,2,A,0,0,D,6,14,3,8,11,19,6,7,2,1,1,0
P1,29.01.2019,SL Benfica,Boavista FC,5,1,H,2,1,H,18,7,9,3,17,15,16,4,0,1,0,0
P1,29.01.2019,Portimonense SC,GD Chaves,0,1,A,0,1,A,14,10,4,5,18,12,8,5,4,6,0,0
P1,29.01.2019,SC Braga,Santa Clara,1,0,H,0,0,D,16,12,2,2,19,16,5,4,2,1,0,0
P1,30.01.2019,FC Porto,Os Belenenses,3,0,H,2,0,H,17,12,8,2,18,17,4,2,1,2,0,1
P1,30.01.2019,Vitória de Setúbal,Sporting CP,1,1,D,1,0,H,10,23,5,9,20,18,4,9,4,6,0,1
P1,1.02.2019,Rio Ave FC,CD Tondela,2,2,D,1,1,D,7,13,4,4,23,16,5,7,4,4,1,1
P1,2.02.2019,CD Aves,SC Braga,0,2,A,0,0,D,7,13,0,5,20,13,3,5,3,4,0,0
P1,2.02.2019,Boavista FC,CD Feirense,2,0,H,0,0,D,12,7,7,1,16,21,4,4,4,4,0,0
P1,2.02.2019,GD Chaves,Clube Sport Marítimo,1,0,H,0,0,D,11,9,3,2,22,19,7,6,2,4,0,0
P1,3.02.2019,Vitória Guimarães,FC Porto,0,0,D,0,0,D,8,22,3,6,19,19,1,9,1,4,0,0
P1,3.02.2019,CD Nacional,Vitória de Setúbal,0,0,D,0,0,D,16,8,1,2,20,21,8,5,2,4,0,0
P1,3.02.2019,Santa Clara,Portimonense SC,2,1,H,1,1,D,23,14,11,6,7,12,7,6,2,1,0,1
P1,3.02.2019,Sporting CP,SL Benfica,2,4,A,1,2,A,17,13,6,7,21,26,5,4,5,2,0,1
P1,4.02.2019,Os Belenenses,Moreirense FC,0,1,A,0,0,D,7,14,3,4,16,16,3,7,2,1,0,0
P1,8.02.2019,Moreirense FC,FC Porto,1,1,D,0,0,D,14,13,2,3,19,9,4,8,4,0,0,0
P1,9.02.2019,Clube Sport Marítimo,CD Aves,0,1,A,0,1,A,8,14,0,4,18,19,4,8,2,2,0,0
P1,9.02.2019,Portimonense SC,Rio Ave FC,0,1,A,0,1,A,14,8,4,3,31,21,4,4,5,1,1,0
P1,9.02.2019,CD Tondela,Vitória Guimarães,1,0,H,0,0,D,12,10,5,3,19,12,8,3,2,1,0,0
P1,10.02.2019,SL Benfica,CD Nacional,10,0,H,3,0,H,24,5,14,2,13,13,8,2,1,0,0,0
P1,10.02.2019,Boavista FC,Santa Clara,1,0,H,0,0,D,13,10,1,4,16,16,5,3,1,1,0,0
