Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,26.01.2019,SC Freiburg,TSG 1899 Hoffenheim,2,4,A,1,1,D,20,16,8,11,17,14,6,1,0,2,0,0
D1,26.01.2019,1. FSV Mainz 05,1. FC Nürnberg,2,1,H,1,1,D,20,8,4,3,12,16,5,5,3,1,0,0
D1,26.01.2019,Borussia Mönchengladbach,FC Augsburg,2,0,H,0,0,D,14,4,6,1,9,15,4,0,2,4,0,0
D1,26.01.2019,SV Werder Bremen,Eintracht Frankfurt,2,2,D,1,1,D,18,8,9,4,11,10,8,3,4,2,0,0
D1,26.01.2019,VfL Wolfsburg,Bayer 04 Leverkusen,0,3,A,0,1,A,10,23,4,14,10,14,5,6,5,3,0,0
D1,27.01.2019,FC Bayern München,VfB Stuttgart,4,1,H,1,1,D,19,7,6,2,9,9,8,1,1,1,0,0
D1,27.01.2019,Fortuna Düsseldorf,RB Leipzig,0,4,A,0,3,A,10,12,0,9,11,11,8,2,1,0,0,0
D1,1.02.2019,Hannover 96,RB Leipzig,0,3,A,0,1,A,5,19,1,8,14,17,0,7,2,2,0,0
D1,2.02.2019,Eintracht Frankfurt,Borussia Dortmund,1,1,D,1,1,D,12,13,7,4,15,6,6,4,2,2,0,0
D1,2.02.2019,Hertha BSC,VfL Wolfsburg,0,1,A,0,0,D,11,8,4,4,19,12,3,7,3,1,0,0
D1,2.02.2019,TSG 1899 Hoffenheim,Fortuna Düsseldorf,1,1,D,1,0,H,12,8,4,6,22,12,5,5,3,4,0,0
D1,2.02.2019,Bayer 04 Leverkusen,FC Bayern München,3,1,H,0,1,A,11,17,4,6,13,13,7,4,3,2,0,0
D1,2.02.2019,1. FC Nürnberg,SV Werder Bremen,1,1,D,0,0,D,11,10,2,3,17,17,3,7,4,1,0,0
