Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,2.12.2018,Feyenoord,PSV,2,1,H,2,0,H,14,12,5,5,17,12,6,4,2,2,0,0
N1,2.12.2018,FC Groningen,NAC Breda,5,2,H,1,1,D,19,6,9,3,7,13,5,1,1,0,0,0
N1,2.12.2018,Heracles Almelo,VVV-Venlo,4,1,H,1,0,H,22,9,8,4,4,10,14,1,0,0,0,0
N1,6.12.2018,Feyenoord,VVV-Venlo,4,1,H,2,0,H,27,3,9,1,5,8,13,0,0,0,0,0
N1,7.12.2018,Fortuna Sittard,AZ Alkmaar,0,3,A,0,1,A,15,8,4,6,13,11,5,7,4,2,0,0
N1,7.12.2018,PSV,Excelsior,6,0,H,2,0,H,23,2,8,0,10,11,8,1,1,3,0,0
N1,8.12.2018,ADO Den Haag,De Graafschap,0,0,D,0,0,D,16,9,3,5,10,13,4,3,1,2,0,0
N1,8.12.2018,Willem II,SC Heerenveen,1,5,A,1,2,A,5,20,1,11,9,13,0,14,2,2,1,0
N1,8.12.2018,PEC Zwolle,Ajax,1,4,A,1,2,A,16,14,7,6,14,7,4,7,2,3,0,0
N1,9.12.2018,FC Emmen,Feyenoord,1,4,A,0,0,D,12,32,6,12,12,8,4,10,3,0,0,0
N1,9.12.2018,NAC Breda,Vitesse,2,1,H,1,0,H,11,15,4,4,9,13,4,9,1,2,0,1
N1,9.12.2018,FC Utrecht,Heracles Almelo,3,1,H,3,0,H,12,14,5,3,11,12,4,4,1,2,0,0
N1,9.12.2018,VVV-Venlo,FC Groningen,0,0,D,0,0,D,12,10,6,4,10,19,4,6,2,1,0,0
N1,14.12.2018,Willem II,ADO Den Haag,0,3,A,0,1,A,8,7,3,4,7,18,2,1,2,3,0,0
N1,15.12.2018,AZ Alkmaar,Excelsior,2,1,H,1,1,D,29,7,12,3,9,6,23,3,1,1,0,0
N1,15.12.2018,Heracles Almelo,PSV,0,4,A,0,2,A,12,16,1,8,14,14,2,3,4,1,2,0
N1,15.12.2018,Vitesse,VVV-Venlo,2,1,H,1,0,H,17,11,4,1,10,19,13,2,3,2,0,0
N1,15.12.2018,PEC Zwolle,NAC Breda,0,0,D,0,0,D,16,13,5,3,7,15,4,7,2,2,0,0
