,HomeTeam,AwayTeam,FTHG,FTAG,FTR
356,1. FC Nürnberg,Bayer 04 Leverkusen,1,1,D
357,SV Werder Bremen,Fortuna Düsseldorf,3,1,H
358,FC Bayern München,1. FC Nürnberg,3,0,H
359,SC Freiburg,RB Leipzig,3,0,H
360,Hertha BSC,Eintracht Frankfurt,1,0,H
361,Bayer 04 Leverkusen,FC Augsburg,1,0,H
362,FC Schalke 04 04,Borussia Dortmund,1,2,A
363,VfL Wolfsburg,TSG 1899 Hoffenheim,2,2,D
364,1. FSV Mainz 05,Hannover 96,1,1,D
365,Borussia Mönchengladbach,VfB Stuttgart,3,0,H
366,1. FC Nürnberg,VfL Wolfsburg,0,2,A
367,FC Augsburg,FC Schalke 04 04,1,1,D
368,Borussia Dortmund,SV Werder Bremen,2,1,H
369,Fortuna Düsseldorf,SC Freiburg,2,0,H
370,Hannover 96,FC Bayern München,0,4,A
371,TSG 1899 Hoffenheim,Borussia Mönchengladbach,0,0,D
372,VfB Stuttgart,Hertha BSC,2,1,H
373,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1,H
374,RB Leipzig,1. FSV Mainz 05,4,1,H
375,Fortuna Düsseldorf,Borussia Dortmund,2,1,H
376,Hertha BSC,FC Augsburg,2,2,D
377,Borussia Mönchengladbach,1. FC Nürnberg,2,0,H
378,VfL Wolfsburg,VfB Stuttgart,2,0,H
379,FC Bayern München,RB Leipzig,1,0,H
380,SC Freiburg,Hannover 96,1,1,D
381,1. FSV Mainz 05,Eintracht Frankfurt,2,2,D
382,FC Schalke 04 04,Bayer 04 Leverkusen,1,2,A
383,SV Werder Bremen,TSG 1899 Hoffenheim,1,1,D
384,Borussia Dortmund,Borussia Mönchengladbach,2,1,H
385,Eintracht Frankfurt,FC Bayern München,0,3,A
386,Hannover 96,Fortuna Düsseldorf,0,1,A
387,Bayer 04 Leverkusen,Hertha BSC,3,1,H
388,1. FC Nürnberg,SC Freiburg,0,1,A
389,RB Leipzig,SV Werder Bremen,3,2,H
390,VfB Stuttgart,FC Schalke 04 04,1,3,A
391,FC Augsburg,VfL Wolfsburg,2,3,A
392,TSG 1899 Hoffenheim,1. FSV Mainz 05,1,1,D
393,TSG 1899 Hoffenheim,FC Bayern München,1,3,A
394,FC Augsburg,Fortuna Düsseldorf,1,2,A
395,Eintracht Frankfurt,SC Freiburg,3,1,H
396,Hannover 96,SV Werder Bremen,0,1,A
397,Bayer 04 Leverkusen,Borussia Mönchengladbach,0,1,A
398,RB Leipzig,Borussia Dortmund,0,1,A
399,VfB Stuttgart,1. FSV Mainz 05,2,3,A
400,1. FC Nürnberg,Hertha BSC,1,3,A
401,FC Schalke 04 04,VfL Wolfsburg,2,1,H
402,Hertha BSC,FC Schalke 04 04,2,2,D
403,Borussia Dortmund,Hannover 96,5,1,H
404,SC Freiburg,TSG 1899 Hoffenheim,2,4,A
405,1. FSV Mainz 05,1. FC Nürnberg,2,1,H
406,Borussia Mönchengladbach,FC Augsburg,2,0,H
407,SV Werder Bremen,Eintracht Frankfurt,2,2,D
408,VfL Wolfsburg,Bayer 04 Leverkusen,0,3,A
409,FC Bayern München,VfB Stuttgart,4,1,H
410,Fortuna Düsseldorf,RB Leipzig,0,4,A
411,Hannover 96,RB Leipzig,0,3,A
412,Eintracht Frankfurt,Borussia Dortmund,1,1,D
413,Hertha BSC,VfL Wolfsburg,0,1,A
414,TSG 1899 Hoffenheim,Fortuna Düsseldorf,1,1,D
415,Bayer 04 Leverkusen,FC Bayern München,3,1,H
416,1. FC Nürnberg,SV Werder Bremen,1,1,D
417,FC Schalke 04 04,Borussia Mönchengladbach,0,2,A
418,FC Augsburg,1. FSV Mainz 05,3,0,H
419,VfB Stuttgart,SC Freiburg,2,2,D
420,1. FSV Mainz 05,Bayer 04 Leverkusen,1,5,A
421,FC Bayern München,FC Schalke 04 04,3,1,H
422,Borussia Dortmund,TSG 1899 Hoffenheim,3,3,D
423,SC Freiburg,VfL Wolfsburg,3,3,D
424,Hannover 96,1. FC Nürnberg,2,0,H
425,Borussia Mönchengladbach,Hertha BSC,0,3,A
426,RB Leipzig,Eintracht Frankfurt,0,0,D
427,Fortuna Düsseldorf,VfB Stuttgart,3,0,H
428,SV Werder Bremen,FC Augsburg,4,0,H
429,FC Augsburg,FC Bayern München,2,3,A
430,Hertha BSC,SV Werder Bremen,1,1,D
431,TSG 1899 Hoffenheim,Hannover 96,3,0,H
432,FC Schalke 04 04,SC Freiburg,0,0,D
433,VfB Stuttgart,RB Leipzig,1,3,A
434,VfL Wolfsburg,1. FSV Mainz 05,3,0,H
435,Eintracht Frankfurt,Borussia Mönchengladbach,1,1,D
436,Bayer 04 Leverkusen,Fortuna Düsseldorf,2,0,H
437,1. FC Nürnberg,Borussia Dortmund,0,0,D
438,SV Werder Bremen,VfB Stuttgart,1,1,D
439,FC Bayern München,Hertha BSC,1,0,H
440,Fortuna Düsseldorf,1. FC Nürnberg,2,1,H
441,SC Freiburg,FC Augsburg,5,1,H
442,1. FSV Mainz 05,FC Schalke 04 04,3,0,H
443,Borussia Mönchengladbach,VfL Wolfsburg,0,3,A
444,Borussia Dortmund,Bayer 04 Leverkusen,3,2,H
445,Hannover 96,Eintracht Frankfurt,0,3,A
446,RB Leipzig,TSG 1899 Hoffenheim,1,1,D
447,FC Augsburg,Borussia Dortmund,2,1,H
448,Eintracht Frankfurt,TSG 1899 Hoffenheim,3,2,H
449,Hertha BSC,1. FSV Mainz 05,2,1,H
450,Bayer 04 Leverkusen,SC Freiburg,2,0,H
451,Borussia Mönchengladbach,FC Bayern München,1,5,A
452,1. FC Nürnberg,RB Leipzig,0,1,A
453,FC Schalke 04 04,Fortuna Düsseldorf,0,4,A
454,VfB Stuttgart,Hannover 96,5,1,H
455,VfL Wolfsburg,SV Werder Bremen,1,1,D
456,SV Werder Bremen,FC Schalke 04 04,4,2,H
457,FC Bayern München,VfL Wolfsburg,6,0,H
458,Borussia Dortmund,VfB Stuttgart,3,1,H
459,SC Freiburg,Hertha BSC,2,1,H
460,1. FSV Mainz 05,Borussia Mönchengladbach,0,1,A
461,RB Leipzig,FC Augsburg,0,0,D
462,Hannover 96,Bayer 04 Leverkusen,2,3,A
463,TSG 1899 Hoffenheim,1. FC Nürnberg,2,1,H
464,Fortuna Düsseldorf,Eintracht Frankfurt,0,3,A
465,Borussia Mönchengladbach,SC Freiburg,1,1,D
466,FC Augsburg,Hannover 96,3,1,H
467,Hertha BSC,Borussia Dortmund,2,3,A
468,FC Schalke 04 04,RB Leipzig,0,1,A
469,VfB Stuttgart,TSG 1899 Hoffenheim,1,1,D
470,VfL Wolfsburg,Fortuna Düsseldorf,5,2,H
471,FC Bayern München,1. FSV Mainz 05,6,0,H
472,Eintracht Frankfurt,1. FC Nürnberg,1,0,H
473,Bayer 04 Leverkusen,SV Werder Bremen,1,3,A
474,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,4,1,H
475,Borussia Dortmund,VfL Wolfsburg,2,0,H
476,Fortuna Düsseldorf,Borussia Mönchengladbach,3,1,H
477,SC Freiburg,FC Bayern München,1,1,D
478,1. FC Nürnberg,FC Augsburg,3,0,H
479,RB Leipzig,Hertha BSC,5,0,H
480,SV Werder Bremen,1. FSV Mainz 05,3,1,H
481,Eintracht Frankfurt,VfB Stuttgart,3,0,H
482,Hannover 96,FC Schalke 04 04,0,1,A
483,1. FSV Mainz 05,SC Freiburg,5,0,H
484,FC Bayern München,Borussia Dortmund,5,0,H
485,Hertha BSC,Fortuna Düsseldorf,1,2,A
486,Bayer 04 Leverkusen,RB Leipzig,2,4,A
487,FC Schalke 04 04,Eintracht Frankfurt,1,2,A
488,VfB Stuttgart,1. FC Nürnberg,1,1,D
489,VfL Wolfsburg,Hannover 96,3,1,H
490,FC Augsburg,TSG 1899 Hoffenheim,0,4,A
491,Borussia Mönchengladbach,SV Werder Bremen,1,1,D
