,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1650,Genoa,Roma,1,1,D
1651,Lazio,Atalanta,1,3,A
1652,Napoli,Cagliari,2,1,H
1653,Parma,Sampdoria,3,3,D
1654,Sassuolo,Frosinone,2,2,D
1655,Milan,Bologna,2,1,H
1656,Atalanta,Genoa,2,1,H
1657,Cagliari,Lazio,1,2,A
1658,Fiorentina,Milan,0,1,A
1659,Frosinone,Udinese,1,3,A
1660,Roma,Juventus,2,0,H
1661,Sampdoria,Empoli,1,2,A
1662,Spal,Napoli,1,2,A
1663,Torino,Sassuolo,3,2,H
1664,Bologna,Parma,4,1,H
1665,Inter,Chievo Verona,2,0,H
1666,Genoa,Cagliari,1,1,D
1667,Sassuolo,Roma,0,0,D
1668,Udinese,Spal,3,2,H
1669,Chievo Verona,Sampdoria,0,0,D
1670,Empoli,Torino,4,1,H
1671,Juventus,Atalanta,1,1,D
1672,Milan,Frosinone,2,0,H
1673,Napoli,Inter,4,1,H
1674,Parma,Fiorentina,1,0,H
1675,Lazio,Bologna,3,3,D
1676,Bologna,Napoli,3,2,H
1677,Frosinone,Chievo Verona,0,0,D
1678,Atalanta,Sassuolo,3,1,H
1679,Cagliari,Udinese,1,2,A
1680,Fiorentina,Genoa,0,0,D
1681,Inter,Empoli,2,1,H
1682,Roma,Parma,2,1,H
1683,Sampdoria,Juventus,2,0,H
1684,Spal,Milan,2,3,A
1685,Torino,Lazio,3,1,H
1686,PEC Zwolle,SC Heerenveen,2,3,A
1687,Ajax,Heracles Almelo,1,1,D
1688,Excelsior,Fortuna Sittard,1,1,D
1689,PSV,FC Utrecht,4,0,H
1690,Willem II,VVV-Venlo,0,1,A
1691,AZ Alkmaar,NAC Breda,5,0,H
1692,ADO Den Haag,FC Emmen,1,2,A
1693,De Graafschap,Feyenoord,2,0,H
1694,Vitesse,FC Groningen,5,1,H
1695,FC Groningen,Willem II,0,1,A
1696,Heracles Almelo,ADO Den Haag,4,2,H
1697,NAC Breda,De Graafschap,3,0,H
1698,Fortuna Sittard,PSV,1,2,A
1699,VVV-Venlo,Ajax,0,1,A
1700,FC Emmen,AZ Alkmaar,1,4,A
1701,Feyenoord,Excelsior,3,0,H
1702,SC Heerenveen,Vitesse,1,1,D
1703,FC Utrecht,PEC Zwolle,2,0,H
1704,ADO Den Haag,Fortuna Sittard,3,1,H
1705,Ajax,FC Emmen,5,0,H
1706,De Graafschap,FC Groningen,0,1,A
1707,NAC Breda,Excelsior,0,2,A
1708,PEC Zwolle,PSV,1,2,A
1709,AZ Alkmaar,Vitesse,0,0,D
1710,SC Heerenveen,Feyenoord,3,5,A
1711,FC Utrecht,VVV-Venlo,1,1,D
1712,Willem II,Heracles Almelo,5,0,H
1713,FC Emmen,De Graafschap,1,1,D
1714,Excelsior,ADO Den Haag,2,4,A
1715,Fortuna Sittard,FC Utrecht,1,1,D
1716,PSV,Willem II,6,1,H
1717,VVV-Venlo,SC Heerenveen,1,1,D
1718,Feyenoord,NAC Breda,4,2,H
1719,FC Groningen,PEC Zwolle,0,1,A
1720,Heracles Almelo,AZ Alkmaar,3,2,H
1721,Vitesse,Ajax,0,4,A
1722,Ajax,FC Groningen,3,0,H
1723,ADO Den Haag,PSV,0,7,A
1724,De Graafschap,VVV-Venlo,1,2,A
1725,Willem II,Excelsior,2,2,D
1726,AZ Alkmaar,Feyenoord,1,1,D
1727,SC Heerenveen,Heracles Almelo,3,5,A
1728,NAC Breda,Fortuna Sittard,2,3,A
1729,FC Utrecht,FC Emmen,1,2,A
1730,PEC Zwolle,Vitesse,0,2,A
1731,Heracles Almelo,De Graafschap,4,0,H
1732,Excelsior,SC Heerenveen,3,3,D
1733,Fortuna Sittard,Willem II,4,4,D
1734,Vitesse,ADO Den Haag,1,1,D
1735,VVV-Venlo,NAC Breda,3,0,H
1736,FC Emmen,PEC Zwolle,0,1,A
1737,Feyenoord,FC Utrecht,1,0,H
1738,FC Groningen,AZ Alkmaar,1,3,A
1739,PSV,Ajax,3,0,H
1740,Excelsior,VVV-Venlo,1,0,H
1741,Fortuna Sittard,Ajax,0,2,A
1742,SC Heerenveen,ADO Den Haag,1,1,D
1743,NAC Breda,PSV,0,2,A
1744,AZ Alkmaar,PEC Zwolle,2,2,D
1745,Feyenoord,Vitesse,2,1,H
1746,De Graafschap,Willem II,2,1,H
1747,FC Groningen,FC Utrecht,1,1,D
1748,Heracles Almelo,FC Emmen,2,1,H
1749,FC Utrecht,NAC Breda,2,1,H
1750,ADO Den Haag,FC Groningen,1,0,H
1751,De Graafschap,SC Heerenveen,0,5,A
1752,PSV,VVV-Venlo,4,0,H
1753,PEC Zwolle,Excelsior,2,0,H
1754,Ajax,AZ Alkmaar,5,0,H
1755,FC Emmen,Fortuna Sittard,3,3,D
1756,Vitesse,Heracles Almelo,4,0,H
1757,Willem II,Feyenoord,1,1,D
1758,Excelsior,Vitesse,2,0,H
1759,SC Heerenveen,Ajax,0,4,A
1760,PSV,FC Emmen,6,0,H
1761,FC Utrecht,AZ Alkmaar,2,1,H
1762,Feyenoord,PEC Zwolle,3,0,H
1763,Fortuna Sittard,De Graafschap,3,1,H
1764,Heracles Almelo,FC Groningen,4,1,H
1765,NAC Breda,Willem II,2,2,D
1766,VVV-Venlo,ADO Den Haag,2,0,H
1767,FC Emmen,VVV-Venlo,1,1,D
1768,ADO Den Haag,NAC Breda,1,1,D
1769,De Graafschap,Excelsior,4,1,H
1770,FC Groningen,PSV,1,2,A
1771,PEC Zwolle,Heracles Almelo,1,1,D
1772,Ajax,Feyenoord,3,0,H
1773,AZ Alkmaar,SC Heerenveen,2,3,A
1774,Vitesse,Fortuna Sittard,2,1,H
1775,Willem II,FC Utrecht,0,1,A
1776,Excelsior,FC Groningen,2,4,A
1777,Ajax,Willem II,2,0,H
1778,AZ Alkmaar,De Graafschap,1,0,H
1779,NAC Breda,Heracles Almelo,2,1,H
1780,PSV,Vitesse,1,0,H
1781,Fortuna Sittard,PEC Zwolle,3,0,H
1782,SC Heerenveen,FC Emmen,1,1,D
1783,FC Utrecht,ADO Den Haag,3,0,H
1784,PEC Zwolle,Willem II,2,3,A
1785,FC Emmen,NAC Breda,2,0,H
1786,De Graafschap,PSV,1,4,A
1787,Vitesse,FC Utrecht,2,1,H
1788,VVV-Venlo,Fortuna Sittard,3,2,H
1789,ADO Den Haag,AZ Alkmaar,0,1,A
1790,Excelsior,Ajax,1,7,A
1791,FC Groningen,SC Heerenveen,2,0,H
1792,Heracles Almelo,Feyenoord,0,2,A
1793,Fortuna Sittard,Heracles Almelo,3,0,H
1794,NAC Breda,Ajax,0,3,A
1795,PSV,SC Heerenveen,3,0,H
1796,PEC Zwolle,ADO Den Haag,2,3,A
1797,FC Emmen,Excelsior,1,2,A
1798,Feyenoord,FC Groningen,1,0,H
1799,FC Utrecht,De Graafschap,5,0,H
1800,VVV-Venlo,AZ Alkmaar,2,2,D
1801,Willem II,Vitesse,1,3,A
1802,Excelsior,FC Utrecht,3,3,D
1803,AZ Alkmaar,Willem II,0,2,A
1804,De Graafschap,PEC Zwolle,0,2,A
1805,SC Heerenveen,Fortuna Sittard,3,1,H
1806,Vitesse,FC Emmen,1,1,D
1807,Ajax,ADO Den Haag,5,1,H
1808,Feyenoord,PSV,2,1,H
1809,FC Groningen,NAC Breda,5,2,H
1810,Heracles Almelo,VVV-Venlo,4,1,H
1811,Feyenoord,VVV-Venlo,4,1,H
1812,Fortuna Sittard,AZ Alkmaar,0,3,A
1813,PSV,Excelsior,6,0,H
1814,ADO Den Haag,De Graafschap,0,0,D
1815,Willem II,SC Heerenveen,1,5,A
1816,PEC Zwolle,Ajax,1,4,A
1817,FC Emmen,Feyenoord,1,4,A
1818,NAC Breda,Vitesse,2,1,H
1819,FC Utrecht,Heracles Almelo,3,1,H
1820,VVV-Venlo,FC Groningen,0,0,D
1821,Willem II,ADO Den Haag,0,3,A
1822,AZ Alkmaar,Excelsior,2,1,H
1823,Heracles Almelo,PSV,0,4,A
1824,Vitesse,VVV-Venlo,2,1,H
1825,PEC Zwolle,NAC Breda,0,0,D
1826,Ajax,De Graafschap,8,0,H
1827,Feyenoord,Fortuna Sittard,0,2,A
1828,FC Groningen,FC Emmen,1,2,A
1829,SC Heerenveen,FC Utrecht,2,3,A
1830,VVV-Venlo,PEC Zwolle,2,0,H
1831,Excelsior,Heracles Almelo,0,3,A
1832,Fortuna Sittard,FC Groningen,0,0,D
1833,NAC Breda,SC Heerenveen,4,2,H
1834,PSV,AZ Alkmaar,3,1,H
1835,ADO Den Haag,Feyenoord,2,2,D
1836,FC Emmen,Willem II,0,2,A
1837,De Graafschap,Vitesse,2,2,D
1838,FC Utrecht,Ajax,1,3,A
1839,Vitesse,Excelsior,3,2,H
1840,AZ Alkmaar,FC Utrecht,3,0,H
1841,ADO Den Haag,VVV-Venlo,2,4,A
1842,FC Groningen,Heracles Almelo,3,0,H
1843,PEC Zwolle,Feyenoord,3,1,H
1844,Ajax,SC Heerenveen,4,4,D
1845,FC Emmen,PSV,2,2,D
1846,De Graafschap,Fortuna Sittard,5,1,H
1847,Willem II,NAC Breda,2,0,H
1848,NAC Breda,ADO Den Haag,1,1,D
1849,Excelsior,De Graafschap,2,0,H
1850,Heracles Almelo,PEC Zwolle,0,2,A
1851,PSV,FC Groningen,2,1,H
1852,VVV-Venlo,FC Emmen,2,3,A
1853,Feyenoord,Ajax,6,2,H
1854,Fortuna Sittard,Vitesse,2,1,H
1855,SC Heerenveen,AZ Alkmaar,0,2,A
1856,FC Utrecht,Willem II,0,1,A
1857,De Graafschap,NAC Breda,3,0,H
1858,Ajax,VVV-Venlo,6,0,H
1859,AZ Alkmaar,FC Emmen,5,0,H
1860,Vitesse,SC Heerenveen,2,2,D
1861,Willem II,FC Groningen,1,2,A
1862,ADO Den Haag,Heracles Almelo,2,0,H
1863,Excelsior,Feyenoord,2,1,H
1864,PSV,Fortuna Sittard,5,0,H
1865,PEC Zwolle,FC Utrecht,4,3,H
1866,NAC Breda,AZ Alkmaar,0,3,A
1867,Feyenoord,De Graafschap,4,0,H
1868,SC Heerenveen,PEC Zwolle,1,1,D
1869,Heracles Almelo,Ajax,1,0,H
1870,VVV-Venlo,Willem II,2,1,H
1871,FC Emmen,ADO Den Haag,3,2,H
1872,Fortuna Sittard,Excelsior,4,1,H
1873,FC Groningen,Vitesse,2,1,H
1874,FC Utrecht,PSV,2,2,D
1875,ADO Den Haag,PEC Zwolle,1,0,H
1876,AZ Alkmaar,VVV-Venlo,3,0,H
1877,SC Heerenveen,PSV,2,2,D
1878,Heracles Almelo,Fortuna Sittard,6,0,H
1879,Vitesse,Willem II,3,2,H
1880,Ajax,NAC Breda,5,0,H
1881,Excelsior,FC Emmen,2,1,H
1882,De Graafschap,FC Utrecht,0,1,A
1883,FC Groningen,Feyenoord,1,0,H
1884,VVV-Venlo,Heracles Almelo,0,1,A
1885,Fortuna Sittard,SC Heerenveen,2,4,A
1886,NAC Breda,FC Groningen,0,0,D
1887,FC Utrecht,Excelsior,0,0,D
1888,PEC Zwolle,De Graafschap,0,3,A
1889,ADO Den Haag,Ajax,1,5,A
1890,FC Emmen,Vitesse,0,3,A
1891,PSV,Feyenoord,1,1,D
1892,Willem II,AZ Alkmaar,2,1,H
1893,De Graafschap,ADO Den Haag,1,1,D
1894,Excelsior,PSV,0,2,A
1895,Heracles Almelo,FC Utrecht,1,5,A
1896,Vitesse,NAC Breda,4,1,H
1897,AZ Alkmaar,Fortuna Sittard,4,2,H
1898,Feyenoord,FC Emmen,4,0,H
1899,FC Groningen,VVV-Venlo,3,2,H
1900,SC Heerenveen,Willem II,4,2,H
1901,FC Utrecht,FC Groningen,0,0,D
1902,ADO Den Haag,SC Heerenveen,2,3,A
1903,PSV,NAC Breda,2,0,H
1904,VVV-Venlo,Excelsior,1,0,H
1905,Willem II,De Graafschap,3,2,H
1906,Ajax,Fortuna Sittard,4,0,H
1907,FC Emmen,Heracles Almelo,1,1,D
1908,Vitesse,Feyenoord,1,1,D
1909,PEC Zwolle,AZ Alkmaar,0,0,D
1910,Ajax,PEC Zwolle,2,1,H
1911,Fortuna Sittard,FC Emmen,3,1,H
1912,Feyenoord,Willem II,2,3,A
1913,SC Heerenveen,De Graafschap,0,3,A
1914,Heracles Almelo,Vitesse,3,2,H
1915,NAC Breda,FC Utrecht,0,4,A
1916,AZ Alkmaar,Ajax,1,0,H
1917,Excelsior,PEC Zwolle,0,2,A
1918,FC Groningen,ADO Den Haag,1,0,H
1919,VVV-Venlo,PSV,0,1,A
1920,AZ Alkmaar,FC Groningen,1,0,H
1921,ADO Den Haag,Vitesse,3,3,D
1922,De Graafschap,Heracles Almelo,1,2,A
1923,SC Heerenveen,Excelsior,1,0,H
1924,Willem II,Fortuna Sittard,3,2,H
1925,Ajax,PSV,3,1,H
1926,NAC Breda,VVV-Venlo,1,1,D
1927,FC Utrecht,Feyenoord,3,2,H
1928,PEC Zwolle,FC Emmen,3,0,H
1929,FC Groningen,De Graafschap,1,0,H
1930,Heracles Almelo,Willem II,3,4,A
1931,Vitesse,AZ Alkmaar,2,2,D
1932,Excelsior,NAC Breda,1,2,A
1933,FC Emmen,Ajax,2,5,A
1934,Fortuna Sittard,ADO Den Haag,0,0,D
1935,VVV-Venlo,FC Utrecht,2,6,A
1936,Feyenoord,SC Heerenveen,3,0,H
1937,PSV,PEC Zwolle,4,0,H
1938,ADO Den Haag,FC Utrecht,5,0,H
1939,De Graafschap,AZ Alkmaar,1,1,D
1940,FC Groningen,Excelsior,1,0,H
1941,Heracles Almelo,NAC Breda,1,0,H
1942,Willem II,Ajax,1,4,A
1943,FC Emmen,SC Heerenveen,2,0,H
1944,Vitesse,PSV,3,3,D
1945,VVV-Venlo,Feyenoord,0,3,A
1946,PEC Zwolle,Fortuna Sittard,5,0,H
1947,NAC Breda,FC Emmen,1,1,D
1948,Ajax,Excelsior,6,2,H
1949,AZ Alkmaar,ADO Den Haag,2,3,A
1950,Feyenoord,Heracles Almelo,2,1,H
1951,Fortuna Sittard,VVV-Venlo,1,1,D
1952,SC Heerenveen,FC Groningen,1,1,D
1953,PSV,De Graafschap,2,1,H
1954,FC Utrecht,Vitesse,0,0,D
1955,Willem II,PEC Zwolle,2,0,H
1956,Heracles Almelo,SC Heerenveen,2,1,H
1957,FC Emmen,FC Utrecht,2,0,H
1958,Feyenoord,AZ Alkmaar,2,1,H
1959,FC Groningen,Ajax,0,1,A
1960,Vitesse,PEC Zwolle,4,1,H
1961,VVV-Venlo,De Graafschap,4,1,H
1962,Excelsior,Willem II,1,1,D
1963,Fortuna Sittard,NAC Breda,2,1,H
1964,PSV,ADO Den Haag,3,1,H
1965,Ajax,Vitesse,4,2,H
1966,AZ Alkmaar,Heracles Almelo,2,1,H
1967,De Graafschap,FC Emmen,1,0,H
1968,SC Heerenveen,VVV-Venlo,2,2,D
1969,NAC Breda,Feyenoord,0,4,A
1970,FC Utrecht,Fortuna Sittard,2,1,H
1971,ADO Den Haag,Excelsior,3,1,H
1972,Willem II,PSV,0,3,A
1973,PEC Zwolle,FC Groningen,3,2,H
1974,Ajax,FC Utrecht,4,1,H
1975,AZ Alkmaar,PSV,1,0,H
1976,Feyenoord,ADO Den Haag,0,2,A
1977,FC Groningen,Fortuna Sittard,3,0,H
1978,SC Heerenveen,NAC Breda,2,1,H
1979,Heracles Almelo,Excelsior,4,5,A
1980,Vitesse,De Graafschap,6,1,H
1981,Willem II,FC Emmen,2,3,A
1982,PEC Zwolle,VVV-Venlo,2,4,A
1983,ADO Den Haag,Willem II,6,2,H
1984,Excelsior,AZ Alkmaar,4,2,H
1985,FC Emmen,FC Groningen,1,0,H
1986,Fortuna Sittard,Feyenoord,1,4,A
1987,De Graafschap,Ajax,1,4,A
1988,NAC Breda,PEC Zwolle,0,0,D
1989,PSV,Heracles Almelo,3,1,H
1990,FC Utrecht,SC Heerenveen,3,1,H
1991,VVV-Venlo,Vitesse,1,3,A
1992,SL Benfica,Vitória Guimarães,3,2,H
1993,FC Porto,GD Chaves,5,0,H
1994,Vitória de Setúbal,CD Aves,2,0,H
1995,CD Tondela,Os Belenenses,0,1,A
1996,CD Feirense,Rio Ave FC,2,0,H
1997,Clube Sport Marítimo,Santa Clara,1,0,H
1998,Moreirense FC,Sporting CP,1,3,A
1999,SC Braga,CD Nacional,4,2,H
2000,Portimonense SC,Boavista FC,0,2,A
2001,CD Aves,CD Tondela,2,2,D
2002,Boavista FC,SL Benfica,0,2,A
2003,GD Chaves,Portimonense SC,2,0,H
2004,Sporting CP,Vitória de Setúbal,2,1,H
2005,Os Belenenses,FC Porto,2,3,A
2006,CD Nacional,Moreirense FC,1,2,A
2007,Rio Ave FC,Clube Sport Marítimo,3,1,H
2008,Santa Clara,SC Braga,3,3,D
2009,Vitória Guimarães,CD Feirense,0,1,A
2010,Clube Sport Marítimo,GD Chaves,2,1,H
2011,SL Benfica,Sporting CP,1,1,D
2012,Portimonense SC,Santa Clara,2,2,D
2013,FC Porto,Vitória Guimarães,2,3,A
2014,CD Feirense,Boavista FC,1,1,D
2015,Vitória de Setúbal,CD Nacional,1,2,A
2016,SC Braga,CD Aves,3,1,H
2017,CD Tondela,Rio Ave FC,1,1,D
2018,Moreirense FC,Os Belenenses,1,1,D
2019,GD Chaves,SC Braga,0,1,A
2020,Vitória Guimarães,CD Tondela,1,0,H
2021,Os Belenenses,Vitória de Setúbal,0,0,D
2022,Santa Clara,Boavista FC,4,2,H
2023,Sporting CP,CD Feirense,1,0,H
2024,CD Aves,Clube Sport Marítimo,0,1,A
2025,CD Nacional,SL Benfica,0,4,A
2026,FC Porto,Moreirense FC,3,0,H
2027,Rio Ave FC,Portimonense SC,2,1,H
2028,Boavista FC,GD Chaves,1,2,A
2029,Clube Sport Marítimo,Os Belenenses,0,0,D
2030,Santa Clara,Rio Ave FC,1,3,A
2031,Vitória de Setúbal,FC Porto,0,2,A
2032,SL Benfica,CD Aves,2,0,H
2033,CD Feirense,CD Nacional,0,0,D
2034,Portimonense SC,Vitória Guimarães,3,2,H
2035,CD Tondela,Moreirense FC,2,0,H
2036,SC Braga,Sporting CP,1,0,H
2037,GD Chaves,SL Benfica,2,2,D
2038,FC Porto,CD Tondela,1,0,H
2039,Moreirense FC,CD Feirense,1,0,H
2040,Rio Ave FC,Boavista FC,2,1,H
2041,Sporting CP,Clube Sport Marítimo,2,0,H
2042,Os Belenenses,SC Braga,0,3,A
2043,Vitória Guimarães,Vitória de Setúbal,1,1,D
2044,CD Nacional,Santa Clara,0,3,A
2045,CD Aves,Portimonense SC,3,0,H
2046,CD Feirense,Os Belenenses,0,0,D
2047,Santa Clara,GD Chaves,1,0,H
2048,CD Tondela,CD Nacional,1,1,D
2049,Clube Sport Marítimo,Vitória Guimarães,1,3,A
2050,Vitória de Setúbal,Moreirense FC,3,0,H
2051,SC Braga,Rio Ave FC,1,1,D
2052,SL Benfica,FC Porto,1,0,H
2053,Boavista FC,CD Aves,1,0,H
2054,Portimonense SC,Sporting CP,4,2,H
2055,Vitória Guimarães,SC Braga,1,1,D
2056,CD Nacional,Portimonense SC,0,1,A
2057,CD Aves,Santa Clara,1,2,A
2058,Os Belenenses,SL Benfica,2,0,H
2059,Rio Ave FC,GD Chaves,1,0,H
2060,Moreirense FC,Clube Sport Marítimo,1,0,H
2061,FC Porto,CD Feirense,2,0,H
2062,Sporting CP,Boavista FC,3,0,H
2063,CD Tondela,Vitória de Setúbal,1,2,A
2064,SL Benfica,Moreirense FC,1,3,A
2065,Boavista FC,Vitória Guimarães,0,0,D
2066,Clube Sport Marítimo,FC Porto,0,2,A
2067,Portimonense SC,Os Belenenses,1,1,D
2068,CD Feirense,CD Tondela,2,4,A
2069,Santa Clara,Sporting CP,1,2,A
2070,SC Braga,Vitória de Setúbal,2,1,H
2071,GD Chaves,CD Aves,1,2,A
2072,Rio Ave FC,CD Nacional,3,3,D
2073,Moreirense FC,Portimonense SC,2,0,H
2074,Vitória de Setúbal,CD Feirense,2,1,H
2075,CD Aves,Rio Ave FC,2,1,H
2076,Os Belenenses,Boavista FC,0,0,D
2077,CD Nacional,Clube Sport Marítimo,1,0,H
2078,FC Porto,SC Braga,1,0,H
2079,Vitória Guimarães,Santa Clara,2,0,H
2080,Sporting CP,GD Chaves,2,1,H
2081,CD Tondela,SL Benfica,1,3,A
2082,Santa Clara,Os Belenenses,2,3,A
2083,SL Benfica,CD Feirense,4,0,H
2084,Clube Sport Marítimo,Vitória de Setúbal,0,1,A
2085,SC Braga,Moreirense FC,2,0,H
2086,CD Aves,CD Nacional,2,3,A
2087,Boavista FC,FC Porto,0,1,A
2088,GD Chaves,Vitória Guimarães,0,1,A
2089,Portimonense SC,CD Tondela,3,2,H
2090,Rio Ave FC,Sporting CP,1,3,A
2091,FC Porto,Portimonense SC,4,1,H
2092,Os Belenenses,GD Chaves,1,0,H
2093,Vitória de Setúbal,SL Benfica,0,1,A
2094,CD Tondela,SC Braga,0,1,A
2095,Vitória Guimarães,Rio Ave FC,3,2,H
2096,Moreirense FC,Santa Clara,0,1,A
2097,CD Nacional,Boavista FC,0,0,D
2098,Sporting CP,CD Aves,4,1,H
2099,CD Feirense,Clube Sport Marítimo,1,1,D
2100,Portimonense SC,Vitória de Setúbal,3,1,H
2101,SC Braga,CD Feirense,4,0,H
2102,CD Aves,Vitória Guimarães,1,1,D
2103,Boavista FC,CD Tondela,2,0,H
2104,GD Chaves,Moreirense FC,1,2,A
2105,Santa Clara,FC Porto,1,2,A
2106,Clube Sport Marítimo,SL Benfica,0,1,A
2107,Rio Ave FC,Os Belenenses,2,2,D
2108,Sporting CP,CD Nacional,5,2,H
2109,Os Belenenses,CD Aves,5,2,H
2110,CD Feirense,Portimonense SC,0,1,A
2111,Moreirense FC,Boavista FC,2,1,H
2112,Vitória de Setúbal,Santa Clara,0,2,A
2113,CD Tondela,Clube Sport Marítimo,2,1,H
2114,SL Benfica,SC Braga,6,2,H
2115,Vitória Guimarães,Sporting CP,1,0,H
2116,CD Nacional,GD Chaves,2,0,H
2117,FC Porto,Rio Ave FC,2,1,H
2118,Boavista FC,Vitória de Setúbal,1,0,H
2119,CD Nacional,Vitória Guimarães,1,0,H
2120,Portimonense SC,SL Benfica,2,0,H
2121,Rio Ave FC,Moreirense FC,1,2,A
2122,Santa Clara,CD Tondela,1,2,A
2123,SC Braga,Clube Sport Marítimo,2,0,H
2124,CD Aves,FC Porto,0,1,A
2125,GD Chaves,CD Feirense,0,0,D
2126,Sporting CP,Os Belenenses,2,1,H
2127,Clube Sport Marítimo,Portimonense SC,2,1,H
2128,Os Belenenses,Vitória Guimarães,1,0,H
2129,SL Benfica,Rio Ave FC,4,2,H
2130,CD Feirense,Santa Clara,2,2,D
2131,Vitória de Setúbal,GD Chaves,0,0,D
2132,SC Braga,Boavista FC,1,0,H
2133,Moreirense FC,CD Aves,1,0,H
2134,FC Porto,CD Nacional,3,1,H
2135,CD Tondela,Sporting CP,2,1,H
2136,Portimonense SC,SC Braga,1,1,D
2137,CD Aves,CD Feirense,1,1,D
2138,Vitória Guimarães,Moreirense FC,1,0,H
2139,Santa Clara,SL Benfica,0,2,A
2140,Boavista FC,Clube Sport Marítimo,0,1,A
2141,Sporting CP,FC Porto,0,0,D
2142,GD Chaves,CD Tondela,2,1,H
2143,CD Nacional,Os Belenenses,0,1,A
2144,Rio Ave FC,Vitória de Setúbal,1,1,D
2145,GD Chaves,FC Porto,1,4,A
2146,Vitória Guimarães,SL Benfica,0,1,A
2147,CD Nacional,SC Braga,0,3,A
2148,Os Belenenses,CD Tondela,2,2,D
2149,Santa Clara,Clube Sport Marítimo,0,1,A
2150,Sporting CP,Moreirense FC,2,1,H
2151,CD Aves,Vitória de Setúbal,2,1,H
2152,Boavista FC,Portimonense SC,0,2,A
2153,Rio Ave FC,CD Feirense,0,0,D
2154,CD Feirense,Vitória Guimarães,1,2,A
2155,Clube Sport Marítimo,Rio Ave FC,0,2,A
2156,Moreirense FC,CD Nacional,2,1,H
2157,CD Tondela,CD Aves,0,2,A
2158,SL Benfica,Boavista FC,5,1,H
2159,Portimonense SC,GD Chaves,0,1,A
2160,SC Braga,Santa Clara,1,0,H
2161,FC Porto,Os Belenenses,3,0,H
2162,Vitória de Setúbal,Sporting CP,1,1,D
2163,Rio Ave FC,CD Tondela,2,2,D
2164,CD Aves,SC Braga,0,2,A
2165,Boavista FC,CD Feirense,2,0,H
2166,GD Chaves,Clube Sport Marítimo,1,0,H
2167,Vitória Guimarães,FC Porto,0,0,D
2168,CD Nacional,Vitória de Setúbal,0,0,D
2169,Santa Clara,Portimonense SC,2,1,H
2170,Sporting CP,SL Benfica,2,4,A
2171,Os Belenenses,Moreirense FC,0,1,A
2172,Moreirense FC,FC Porto,1,1,D
2173,Clube Sport Marítimo,CD Aves,0,1,A
2174,Portimonense SC,Rio Ave FC,0,1,A
2175,CD Tondela,Vitória Guimarães,1,0,H
2176,SL Benfica,CD Nacional,10,0,H
2177,Boavista FC,Santa Clara,1,0,H
2178,CD Feirense,Sporting CP,1,3,A
2179,SC Braga,GD Chaves,2,1,H
2180,Vitória de Setúbal,Os Belenenses,0,0,D
2181,Rio Ave FC,Santa Clara,1,2,A
2182,Vitória Guimarães,Portimonense SC,2,0,H
2183,CD Nacional,CD Feirense,4,0,H
2184,FC Porto,Vitória de Setúbal,2,0,H
2185,Os Belenenses,Clube Sport Marítimo,0,1,A
2186,GD Chaves,Boavista FC,1,1,D
2187,Moreirense FC,CD Tondela,2,0,H
2188,Sporting CP,SC Braga,3,0,H
2189,CD Aves,SL Benfica,0,3,A
2190,SC Braga,Os Belenenses,0,2,A
2191,CD Tondela,FC Porto,0,3,A
2192,CD Feirense,Moreirense FC,1,3,A
2193,Portimonense SC,CD Aves,1,1,D
2194,Vitória de Setúbal,Vitória Guimarães,1,1,D
2195,Boavista FC,Rio Ave FC,1,0,H
2196,Santa Clara,CD Nacional,2,0,H
2197,SL Benfica,GD Chaves,4,0,H
2198,Clube Sport Marítimo,Sporting CP,0,0,D
2199,CD Aves,Boavista FC,2,0,H
2200,Moreirense FC,Vitória de Setúbal,1,1,D
2201,CD Nacional,CD Tondela,3,2,H
2202,FC Porto,SL Benfica,1,2,A
2203,Os Belenenses,CD Feirense,4,0,H
2204,GD Chaves,Santa Clara,0,0,D
2205,Rio Ave FC,SC Braga,1,2,A
2206,Sporting CP,Portimonense SC,3,1,H
2207,Vitória Guimarães,Clube Sport Marítimo,1,0,H
2208,GD Chaves,Rio Ave FC,1,1,D
2209,Boavista FC,Sporting CP,1,2,A
2210,Clube Sport Marítimo,Moreirense FC,3,2,H
2211,SC Braga,Vitória Guimarães,1,0,H
2212,CD Feirense,FC Porto,1,2,A
2213,Portimonense SC,CD Nacional,5,1,H
2214,Santa Clara,CD Aves,0,0,D
2215,Vitória de Setúbal,CD Tondela,0,0,D
2216,SL Benfica,Os Belenenses,2,2,D
2217,Sporting CP,Santa Clara,1,0,H
2218,Os Belenenses,Portimonense SC,2,2,D
2219,Vitória Guimarães,Boavista FC,3,1,H
2220,FC Porto,Clube Sport Marítimo,3,0,H
2221,Vitória de Setúbal,SC Braga,0,1,A
2222,CD Aves,GD Chaves,0,1,A
2223,Moreirense FC,SL Benfica,0,4,A
2224,CD Nacional,Rio Ave FC,0,1,A
2225,CD Tondela,CD Feirense,1,1,D
2226,Portimonense SC,Moreirense FC,0,2,A
2227,SL Benfica,CD Tondela,1,0,H
2228,GD Chaves,Sporting CP,1,3,A
2229,Santa Clara,Vitória Guimarães,1,0,H
2230,SC Braga,FC Porto,2,3,A
2231,Boavista FC,Os Belenenses,2,0,H
2232,Clube Sport Marítimo,CD Nacional,3,2,H
2233,Rio Ave FC,CD Aves,0,2,A
